p2,x1,alpha
2.002290,0.999522,0.010000
2.020845,0.994364,0.110000
2.033658,0.988921,0.210000
2.042722,0.983509,0.310000
2.049225,0.978268,0.410000
2.053914,0.973257,0.510000
2.057283,0.968497,0.610000
2.059671,0.963989,0.710000
2.061317,0.959725,0.810000
2.062394,0.955692,0.910000
2.063073,0.951506,1.020000
2.063325,0.944502,1.220000
2.062721,0.938189,1.420000
2.061571,0.932469,1.620000
2.060075,0.927260,1.820000
2.058359,0.922494,2.020000
2.055553,0.916053,2.320000
2.052622,0.910327,2.620000
2.049668,0.905195,2.920000
2.046751,0.900564,3.220000
2.042976,0.895041,3.620000
2.039365,0.890138,4.020000
2.035104,0.884721,4.520000
2.031124,0.879952,5.020000
2.026701,0.874921,5.620000
2.022633,0.870504,6.220000
2.018286,0.865976,6.920000
2.014321,0.861996,7.620000
2.010197,0.857992,8.420000
2.006005,0.854049,9.320000
2.003069,0.851357,10.010000
