det,time
1.29186e-06,0.015708
1.03334e-05,0.0314159
3.48663e-05,0.0471239
8.26172e-05,0.0628319
0.000161289,0.0785398
0.000278554,0.0942478
0.000442063,0.109956
0.000659387,0.125664
0.000938073,0.141372
0.0012856,0.15708
0.00170938,0.172788
0.00221676,0.188496
0.00281499,0.204204
0.00351126,0.219911
0.00431266,0.235619
0.00522617,0.251327
0.00625868,0.267035
0.00741697,0.282743
0.00870771,0.298451
0.0101375,0.314159
0.0117126,0.329867
0.0134396,0.345575
0.0153245,0.361283
0.0173733,0.376991
0.019592,0.392699
0.0219865,0.408407
0.0245622,0.424115
0.0273247,0.439823
0.0302795,0.455531
0.0334316,0.471239
0.0367861,0.486947
0.040348,0.502655
0.0441221,0.518363
0.0481129,0.534071
0.052325,0.549779
0.0567626,0.565487
0.06143,0.581195
0.0663311,0.596903
0.0714699,0.612611
0.0768501,0.628319
0.0824753,0.644026
0.0883489,0.659734
0.0944743,0.675442
0.100855,0.69115
0.107493,0.706858
0.114392,0.722566
0.121554,0.738274
0.128983,0.753982
0.13668,0.76969
0.144649,0.785398
0.15289,0.801106
0.161407,0.816814
0.170201,0.832522
0.179274,0.84823
0.188628,0.863938
0.198264,0.879646
0.208184,0.895354
0.21839,0.911062
0.228882,0.92677
0.239661,0.942478
0.250729,0.958186
0.262087,0.973894
0.273735,0.989602
0.285675,1.00531
0.297906,1.02102
0.31043,1.03673
0.323246,1.05243
0.336356,1.06814
0.349759,1.08385
0.363456,1.09956
0.377446,1.11527
0.39173,1.13097
0.406308,1.14668
0.421179,1.16239
0.436344,1.1781
0.451801,1.19381
0.467552,1.20951
0.483594,1.22522
0.499928,1.24093
0.516554,1.25664
0.53347,1.27235
0.550676,1.28805
0.568171,1.30376
0.585954,1.31947
0.604025,1.33518
0.622382,1.35088
0.641025,1.36659
0.659953,1.3823
0.679164,1.39801
0.698658,1.41372
0.718432,1.42942
0.738487,1.44513
0.758821,1.46084
0.779433,1.47655
0.80032,1.49226
0.821483,1.50796
0.842919,1.52367
0.864627,1.53938
0.886606,1.55509
0.908853,1.5708
